Municipality_code,Municipality,Average_age
1442, Vårgårda,41.4
1443, Bollebygd,41.6
1444, Grästorp,45.1
1445, Essunga,44.4
1446, Karlsborg,46.8
1447, Gullspång,48.3
1452, Tranemo,43.8
1460, Bengtsfors,46.6
1461, Mellerud,45.5
1462, Lilla Edet,41.4
1463, Mark,43.0
1465, Svenljunga,44.3
1466, Herrljunga,43.9
1470, Vara,43.8
1471, Götene,44.6
1472, Tibro,43.7
1473, Töreboda,44.9
1480, Göteborg,39.0
1481, Mölndal,39.1
1482, Kungälv,41.5
1484, Lysekil,47.2
1485, Uddevalla,41.8
1486, Strömstad,42.8
1487, Vänersborg,42.6
1488, Trollhättan,40.5
1489, Alingsås,42.2
1490, Borås,40.7
1491, Ulricehamn,43.5
1492, Åmål,45.1
1493, Mariestad,44.8
1494, Lidköping,43.2
1495, Skara,42.7
1496, Skövde,40.8
1497, Hjo,44.9
1498, Tidaholm,43.7
1499, Falköping,42.0
1715, Kil,43.4
1730, Eda,44.3
1737, Torsby,47.2
1760, Storfors,46.7
1761, Hammarö,40.5
1762, Munkfors,47.0
1763, Forshaga,42.7
1764, Grums,44.9
1765, Årjäng,44.3
1766, Sunne,44.9
1780, Karlstad,41.5
1781, Kristinehamn,45.3
1782, Filipstad,45.4
1783, Hagfors,48.3
1784, Arvika,44.8
1785, Säffle,45.6
1814, Lekeberg,41.0
1860, Laxå,46.5
1861, Hallsberg,42.6
1862, Degerfors,46.0
1863, Hällefors,45.8
1864, Ljusnarsberg,47.8
1880, Örebro,39.6
1881, Kumla,40.6
1882, Askersund,46.3
1883, Karlskoga,44.1
1884, Nora,44.7
1885, Lindesberg,43.8
1904, Skinnskatteberg,47.0
1907, Surahammar,43.9
1960, Kungsör,43.4
1961, Hallstahammar,43.1
1962, Norberg,45.5
1980, Västerås,41.0
1981, Sala,43.8
1982, Fagersta,43.1
1983, Köping,43.3
1984, Arboga,44.6
2021, Vansbro,45.6
2023, Malung-Sälen,45.5
2026, Gagnef,43.7
2029, Leksand,46.1
2031, Rättvik,48.8
2034, Orsa,46.0
2039, Älvdalen,46.5
2061, Smedjebacken,46.4
2062, Mora,45.4
2080, Falun,42.2
2081, Borlänge,40.7
2082, Säter,44.8
2083, Hedemora,44.7
2084, Avesta,44.0
2085, Ludvika,43.3
2101, Ockelbo,46.0
2104, Hofors,45.1
2121, Ovanåker,45.4
2132, Nordanstig,45.2
2161, Ljusdal,45.6
2180, Gävle,41.6
2181, Sandviken,43.6
2182, Söderhamn,45.6
2183, Bollnäs,44.3
2184, Hudiksvall,44.7
2260, Ånge,46.6
2262, Timrå,43.3
2280, Härnösand,44.3
2281, Sundsvall,42.4
2282, Kramfors,46.9
2283, Sollefteå,46.3
2284, Örnsköldsvik,43.7
2303, Ragunda,46.8
2305, Bräcke,46.9
2309, Krokom,41.8
2313, Strömsund,46.7
2321, Åre,40.1
2326, Berg,46.3
2361, Härjedalen,47.2
2380, Östersund,41.9
2401, Nordmaling,45.4
2403, Bjurholm,46.5
2404, Vindeln,45.5
2409, Robertsfors,45.0
2417, Norsjö,46.0
2418, Malå,45.5
2421, Storuman,46.9
2422, Sorsele,47.1
2425, Dorotea,48.5
2460, Vännäs,41.6
2462, Vilhelmina,45.0
2463, Åsele,47.5
2480, Umeå,38.9
2481, Lycksele,43.5
2482, Skellefteå,43.6
2505, Arvidsjaur,45.7
2506, Arjeplog,47.2
2510, Jokkmokk,47.0
2513, Överkalix,49.7
2514, Kalix,47.0
2518, Övertorneå,50.0
2521, Pajala,48.6
2523, Gällivare,45.2
2560, Älvsbyn,44.8
2580, Luleå,42.1
2581, Piteå,43.4
2582, Boden,44.3
2583, Haparanda,46.3
2584, Kiruna,42.5
